Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.464920,0.466212,0.453297,175.500000,0.453297,1195200
1970-01-05,0.453297,0.454589,0.441674,171.250000,0.442320,964800
1970-01-06,0.442320,0.450714,0.440383,174.500000,0.450714,1036800
1970-01-07,0.450714,0.452006,0.447486,173.750000,0.448777,331200
1970-01-08,0.448777,0.455880,0.448777,175.000000,0.452006,460800
1970-01-09,0.454589,0.461046,0.454589,176.000000,0.454589,748800
1970-01-12,0.454589,0.454589,0.446840,173.000000,0.446840,864000
1970-01-13,0.448132,0.454589,0.448132,174.500000,0.450714,849600
1970-01-14,0.450714,0.458463,0.450714,177.000000,0.457171,619200
1970-01-15,0.457171,0.458463,0.456526,177.250000,0.457817,1209600
1970-01-16,0.457817,0.457817,0.455880,177.000000,0.457171,734400
1970-01-19,0.456526,0.456526,0.450714,174.750000,0.451360,1180800
1970-01-20,0.451360,0.451360,0.443612,174.750000,0.451360,763200
1970-01-21,0.451360,0.453297,0.450069,175.500000,0.453297,878400
1970-01-22,0.453297,0.454589,0.450714,176.000000,0.454589,360000
1970-01-23,0.454589,0.455880,0.451360,175.000000,0.452006,979200
1970-01-26,0.452006,0.452006,0.449423,175.000000,0.452006,979200
1970-01-27,0.450069,0.450069,0.446840,173.000000,0.446840,532800
1970-01-28,0.442966,0.442966,0.422303,163.500000,0.422303,1497600
1970-01-29,0.421011,0.421011,0.399056,160.000000,0.413262,3585600
1970-01-30,0.408097,0.408097,0.400348,158.000000,0.408097,2808000
1970-02-02,0.412617,0.428760,0.412617,166.000000,0.428760,1612800
1970-02-03,0.428760,0.446840,0.426177,165.000000,0.426177,2692800
1970-02-04,0.421657,0.421657,0.402285,157.750000,0.407451,2793600
1970-02-05,0.407451,0.426177,0.406159,165.000000,0.426177,1886400
1970-02-06,0.423594,0.423594,0.418428,163.000000,0.421011,705600
1970-02-09,0.431342,0.442966,0.431342,170.250000,0.439737,1684800
1970-02-10,0.446840,0.452006,0.446840,173.500000,0.448132,2505600
1970-02-11,0.446840,0.446840,0.442320,172.000000,0.444257,2232000
1970-02-12,0.444257,0.444257,0.425208,165.750000,0.428114,3369600
1970-02-13,0.426500,0.426500,0.413262,162.000000,0.418428,1540800
1970-02-16,0.419203,0.421144,0.418233,161.625000,0.418233,820800
1970-02-17,0.418233,0.418557,0.406265,158.500000,0.410146,1915200
1970-02-18,0.411441,0.414675,0.411441,159.750000,0.413381,878400
1970-02-19,0.413381,0.413381,0.409499,158.625000,0.410470,576000
1970-02-20,0.409499,0.409499,0.401089,155.625000,0.402707,1396800
1970-02-24,0.402707,0.404324,0.391386,152.250000,0.393973,3744000
1970-02-25,0.393973,0.408853,0.392033,158.000000,0.408853,2822400
1970-02-26,0.404971,0.404971,0.396561,155.000000,0.401089,1353600
1970-02-27,0.403677,0.414028,0.403677,159.375000,0.412410,1627200
1970-03-02,0.412410,0.418557,0.408853,158.000000,0.408853,1051200
1970-03-03,0.408853,0.409499,0.402384,158.250000,0.409499,1468800
1970-03-04,0.409499,0.416616,0.409499,159.750000,0.413381,734400
1970-03-05,0.413381,0.414675,0.411441,159.500000,0.412734,892800
1970-03-06,0.412734,0.412734,0.405618,157.250000,0.406912,907200
1970-03-09,0.405618,0.405618,0.402384,156.250000,0.404324,273600
1970-03-10,0.402384,0.402384,0.397531,155.000000,0.401089,1353600
1970-03-11,0.401089,0.406265,0.399796,156.250000,0.404324,432000
1970-03-12,0.404648,0.407559,0.404648,156.750000,0.405618,388800
1970-03-13,0.403677,0.403677,0.401089,155.000000,0.401089,1339200
1970-03-16,0.401089,0.401089,0.393973,152.500000,0.394620,806400
1970-03-17,0.394620,0.395914,0.392680,151.750000,0.392680,1267200
1970-03-18,0.393327,0.396561,0.393327,153.250000,0.396561,748800
1970-03-19,0.397855,0.399796,0.397855,153.750000,0.397855,1123200
1970-03-20,0.397855,0.397855,0.395267,153.750000,0.397855,518400
1970-03-23,0.397208,0.397208,0.393327,152.500000,0.394620,216000
1970-03-24,0.394297,0.394297,0.388151,151.625000,0.392356,1670400
1970-03-25,0.395914,0.410146,0.395914,156.500000,0.404971,2275200
1970-03-26,0.404971,0.407559,0.403677,156.500000,0.404971,936000
1970-03-30,0.404971,0.406912,0.402384,155.750000,0.403031,1368000
1970-03-31,0.401089,0.401089,0.397208,154.500000,0.399796,676800
1970-04-01,0.398502,0.398502,0.395914,153.375000,0.396884,820800
1970-04-02,0.394620,0.394620,0.389445,150.875000,0.390415,792000
1970-04-03,0.390415,0.392680,0.390415,151.500000,0.392033,1008000
1970-04-06,0.392033,0.393973,0.381035,147.500000,0.381682,2275200
1970-04-07,0.381035,0.381035,0.370037,143.250000,0.370685,1526400
1970-04-08,0.370685,0.371331,0.368097,143.000000,0.370037,734400
1970-04-09,0.370037,0.379094,0.370037,146.250000,0.378448,820800
1970-04-10,0.378448,0.384270,0.376830,146.000000,0.377800,3312000
1970-04-13,0.377800,0.377800,0.372625,145.000000,0.375213,878400
1970-04-14,0.375213,0.381682,0.370037,147.250000,0.381035,835200
1970-04-15,0.381035,0.387504,0.380388,148.000000,0.382976,2217600
1970-04-16,0.382976,0.382976,0.378448,146.375000,0.378771,1252800
1970-04-17,0.378771,0.379094,0.377800,146.250000,0.378448,950400
1970-04-20,0.378448,0.379094,0.375860,146.000000,0.377800,1425600
1970-04-21,0.377800,0.380388,0.375213,145.125000,0.375536,518400
1970-04-22,0.375213,0.375213,0.372625,144.125000,0.372949,561600
1970-04-23,0.372949,0.373272,0.360981,139.875000,0.361951,763200
1970-04-24,0.361951,0.362274,0.360010,139.250000,0.360334,792000
1970-04-27,0.360010,0.360010,0.355805,137.750000,0.356452,705600
1970-04-28,0.356452,0.357099,0.354511,137.000000,0.354511,676800
1970-04-29,0.354511,0.367450,0.348042,142.000000,0.367450,2534400
1970-04-30,0.367450,0.375213,0.367450,143.000000,0.370037,532800
1970-05-01,0.370037,0.370037,0.367450,142.250000,0.368097,316800
1970-05-04,0.363568,0.363568,0.356452,137.750000,0.356452,576000
1970-05-05,0.355158,0.355158,0.352571,136.250000,0.352571,950400
1970-05-06,0.352571,0.358393,0.352571,138.500000,0.358393,1166400
1970-05-07,0.359687,0.364862,0.359687,140.500000,0.363568,1137600
1970-05-08,0.363568,0.366156,0.355805,138.500000,0.358393,921600
1970-05-11,0.353541,0.353541,0.349336,135.000000,0.349336,705600
1970-05-12,0.349336,0.358393,0.348689,136.000000,0.351924,763200
1970-05-13,0.350630,0.350630,0.348689,135.125000,0.349660,360000
1970-05-14,0.349660,0.349983,0.341573,133.750000,0.346102,1094400
1970-05-15,0.349336,0.362274,0.349336,140.000000,0.362274,676800
1970-05-18,0.376507,0.376507,0.366803,47.250000,0.366803,561600
1970-05-19,0.366803,0.368744,0.347395,44.750000,0.347395,657600
1970-05-20,0.347395,0.349336,0.342543,44.125000,0.342543,542400
1970-05-21,0.337692,0.337692,0.323136,42.500000,0.329929,1881600
1970-05-22,0.330552,0.336385,0.318885,42.250000,0.328608,777600
1970-05-25,0.326663,0.326663,0.305275,39.250000,0.305275,1718400
1970-05-26,0.305275,0.307219,0.289719,37.375000,0.290691,1536000
1970-05-27,0.299441,0.313052,0.299441,40.250000,0.313052,2001600
1970-05-28,0.313052,0.320830,0.309163,41.000000,0.318885,3168000
1970-05-29,0.318885,0.338330,0.314997,43.500000,0.338330,1872000
1970-06-01,0.338330,0.349996,0.336385,45.000000,0.349996,1555200
1970-06-02,0.349996,0.353885,0.340274,44.500000,0.346108,1190400
1970-06-03,0.346108,0.360691,0.343191,46.375000,0.360691,1185600
1970-06-04,0.360691,0.372357,0.357774,46.000000,0.357774,1948800
1970-06-05,0.357774,0.357774,0.347080,44.875000,0.349024,796800
1970-06-08,0.349024,0.352913,0.340274,45.250000,0.351941,523200
1970-06-09,0.351941,0.352913,0.342219,45.000000,0.349996,652800
1970-06-10,0.349996,0.356802,0.349024,44.875000,0.349024,744000
1970-06-11,0.349024,0.356802,0.346108,45.750000,0.355829,628800
1970-06-12,0.355829,0.357774,0.351941,45.750000,0.355829,696000
1970-06-15,0.355829,0.363607,0.353885,46.500000,0.361663,374400
1970-06-16,0.365552,0.394718,0.365552,50.000000,0.388885,912000
1970-06-17,0.388885,0.388885,0.375274,49.000000,0.381107,974400
1970-06-18,0.381107,0.388885,0.377218,50.000000,0.388885,556800
1970-06-19,0.388885,0.394718,0.381107,49.000000,0.381107,1238400
1970-06-22,0.381107,0.386940,0.365552,49.000000,0.381107,393600
1970-06-23,0.377218,0.377218,0.365552,47.250000,0.367496,715200
1970-06-24,0.367496,0.367496,0.357774,46.625000,0.362635,532800
1970-06-25,0.362635,0.373330,0.361663,46.625000,0.362635,388800
1970-06-26,0.362635,0.363607,0.351941,46.000000,0.357774,484800
1970-06-29,0.357774,0.360691,0.350968,46.000000,0.357774,283200
1970-06-30,0.357774,0.371385,0.357774,46.625000,0.362635,417600
1970-07-01,0.362635,0.363607,0.357774,46.750000,0.363607,921600
1970-07-02,0.363607,0.364579,0.358746,46.125000,0.358746,216000
1970-07-06,0.359718,0.368468,0.359718,46.750000,0.363607,672000
1970-07-07,0.363607,0.367496,0.349996,45.000000,0.349996,916800
1970-07-08,0.349996,0.362635,0.349024,46.500000,0.361663,408000
1970-07-09,0.363607,0.373330,0.363607,47.000000,0.365552,427200
1970-07-10,0.365552,0.377218,0.365552,48.125000,0.374301,336000
1970-07-13,0.374301,0.382079,0.370413,47.625000,0.370413,403200
1970-07-14,0.370413,0.373330,0.364579,47.500000,0.369441,552000
1970-07-15,0.370413,0.377218,0.370413,48.000000,0.373330,912000
1970-07-16,0.373330,0.378191,0.371385,47.750000,0.371385,763200
1970-07-17,0.375274,0.384996,0.375274,49.500000,0.384996,849600
1970-07-20,0.384996,0.392774,0.384996,49.875000,0.387912,1224000
1970-07-21,0.387912,0.391801,0.386940,49.750000,0.386940,1800000
1970-07-22,0.386940,0.389857,0.384996,49.500000,0.384996,1872000
1970-07-23,0.384996,0.390829,0.381107,49.250000,0.383051,1804800
1970-07-24,0.382079,0.382079,0.377218,48.500000,0.377218,667200
1970-07-27,0.376246,0.376246,0.367496,47.250000,0.367496,436800
1970-07-28,0.369441,0.379163,0.369441,48.500000,0.377218,772800
1970-07-29,0.379163,0.388885,0.379163,49.625000,0.385968,326400
1970-07-30,0.385968,0.387912,0.381107,49.250000,0.383051,542400
1970-07-31,0.383051,0.386940,0.383051,49.375000,0.384023,484800
1970-08-03,0.383051,0.383051,0.368468,48.500000,0.377218,816000
1970-08-04,0.375274,0.375274,0.369441,48.000000,0.373330,542400
1970-08-05,0.373330,0.377218,0.367496,47.375000,0.368468,633600
1970-08-06,0.369441,0.373330,0.369441,47.625000,0.370413,470400
1970-08-07,0.370413,0.374301,0.366524,47.375000,0.368468,811200
1970-08-10,0.366524,0.366524,0.353885,45.500000,0.353885,672000
1970-08-11,0.353885,0.355829,0.349996,45.250000,0.351941,849600
1970-08-12,0.352913,0.357774,0.352913,45.375000,0.352913,288000
1970-08-13,0.352913,0.352913,0.338330,44.250000,0.344163,1833600
1970-08-14,0.341246,0.341246,0.335413,43.375000,0.337357,998400
1970-08-17,0.337982,0.340904,0.333112,43.500000,0.338956,1108800
1970-08-18,0.350644,0.360384,0.350644,45.125000,0.351618,753600
1970-08-19,0.351618,0.360384,0.351618,45.125000,0.351618,624000
1970-08-20,0.351618,0.360384,0.346748,45.500000,0.354540,816000
1970-08-21,0.354540,0.374020,0.354540,47.750000,0.372073,1118400
1970-08-24,0.377916,0.385709,0.377916,49.000000,0.381813,1036800
1970-08-25,0.381813,0.385709,0.375969,49.500000,0.385709,508800
1970-08-26,0.385709,0.385709,0.375969,48.500000,0.377916,220800
1970-08-27,0.377916,0.379865,0.375969,48.250000,0.375969,369600
1970-08-28,0.375969,0.381813,0.372073,49.000000,0.381813,1012800
1970-08-31,0.381813,0.383761,0.378891,48.625000,0.378891,283200
1970-09-01,0.380838,0.383761,0.380838,49.250000,0.383761,446400
